"nazwa","rozdzielczosc","zakres_czulosci","cena","liczba_opinii","ocena_klientow","status_opinii"
"Canon EOS 5D Mark IV",30.4,"32000",2899,81,0,"50-100 opinii"
"Nikon D850",45.7,"25600",3296,56,2,"50-100 opinii"
"Sony Alpha a7 III",24.2,"51200",1998,47,0,"mniej niż 50 opinii"
"Fujifilm X-T3",26.1,"12800",1499,30,4,"mniej niż 50 opinii"
"Panasonic Lumix GH5",20.3,"25600",1497,46,4.5,"mniej niż 50 opinii"
"Nikon Z6",24.5,"51200",1996,57,1.5,"50-100 opinii"
"Sony Alpha a6400",24.2,"32000",898,39,0.5,"mniej niż 50 opinii"
"Canon EOS R",30.3,"40000",2299,23,4.5,"mniej niż 50 opinii"
"Sony Alpha a7R III",42.4,"32000",2798,40,0,"mniej niż 50 opinii"
"Sony Alpha a7 II",24.3,"25600",1398,46,3.5,"mniej niż 50 opinii"
"Nikon Z7 II",45.7,"25600",2996,36,3,"mniej niż 50 opinii"
"Canon EOS 6D Mark II",26.2,"40000",1399,42,1.5,"mniej niż 50 opinii"
"Nikon D7500",20.9,"51200",996,37,4,"mniej niż 50 opinii"
"Sony Alpha a6600",24.2,"32000",1398,29,2,"mniej niż 50 opinii"
"Fujifilm X-T30",26.1,"12800",899,31,1.5,"mniej niż 50 opinii"
